" Ironsight, un shooter gratuito al más puro estilo Call of Duty con más de 100 armas",Borja Rodríguez,05/11/2017
 El despiece del iPhone X revela que el terminal tiene dos baterías,Pablo Cañal,05/11/2017
 DRAMeXchange predice un aumento en la producción de memoria DRAM en 2018,Pablo Cañal,05/11/2017
 LG 34UC89G-B: Panel IPS curvo de 34″ UWHD @ 144 Hz con Nvidia G-Sync,Borja Rodríguez,05/11/2017
 Tim Cook: “Si dejaras de tomar ese café caro podrías comprarte un iPhone X”,Borja Rodríguez,04/11/2017
 Acer Swift 3 con CPU Ryzen 5 2500U y Radeon Vega8 listado por 799 euros,Borja Rodríguez,04/11/2017
 Broadcom prepara 86.000 millones de euros para comprar a Qualcomm,Borja Rodríguez,04/11/2017
 Amazon busca tener su propia gran serie: El Señor de los Anillos,Borja Rodríguez,04/11/2017
 Quantum Break ocupa hasta 178GB de espacio en la Xbox One X,Borja Rodríguez,04/11/2017
 ARM e Intel se alían para crear la siguiente generación de procesadores Cortex-A,Borja Rodríguez,04/11/2017
" La muerte de Denuvo está cerca, “los grupos de hackers ya saben como saltarse su seguridad”",Pablo Cañal,04/11/2017
" Battle for Azeroth, así es la nueva expansión de World of Warcraft",Borja Rodríguez,04/11/2017
 Google aumenta la garantía de los nuevos Pixel ante los problemas del Pixel 2 XL,Pablo Cañal,04/11/2017
 Starcraft II se convertirá en un juego gratuito el próximo 14 de Noviembre,Borja Rodríguez,03/11/2017
 Razer Tartarus V2: Keypad gaming con 32 teclas meca-membranosas e iluminación RGB,Borja Rodríguez,03/11/2017
 Razer Naga Trinity: Ratón con diseño modular con 3 laterales intercambiables,Borja Rodríguez,03/11/2017
 Google podría ser demandada por los problemas de pantalla del Pixel 2 XL,Pablo Cañal,03/11/2017
 Así sería el diseño final del Xiaomi Redmi 5 Plus,Borja Rodríguez,03/11/2017
 Sony afirma que “las microtransacciones mitigan el riesgo de las consolas”,Pablo Cañal,03/11/2017
 Lenovo adquiere la división de PC’s de Fujitsu por 135 millones de euros,Borja Rodríguez,03/11/2017
 Nvidia prepara una nueva GPU TITAN X en forma de Edición Coleccionista,Borja Rodríguez,03/11/2017
 Review: Talius Golem,Iván Martínez,03/11/2017
 AMD lanza sus controladores Radeon Crimson ReLive 17.11.1 Beta,Borja Rodríguez,03/11/2017
 Assassin’s Creed: Origins se actualiza: Mejor rendimiento en GPUs Nvidia y peor en AMD,Borja Rodríguez,03/11/2017
" Oppo R11s anunciado: 6″ FHD+ AMOLED, Snapdragon 660, doble cámara y 3205 mAh",Borja Rodríguez,03/11/2017
 HTC lanza un pack con sus HTC Vive y la GeForce GTX 1070 por 899 euros,Borja Rodríguez,03/11/2017
 Asus ROG G703: 17.3″ @ 144 Hz con CPU Kaby Lake y GeForce GTX 1080,Borja Rodríguez,03/11/2017
 La actualización de Cemu 1.11.0 trae mejoras en Zelda Breath Of The Wild y soporte online nativo,Pablo Cañal,03/11/2017
 Nioh estrena tráiler y gameplay 4K @ 60 FPS de su versión para PC,Pablo Cañal,03/11/2017
 XFX muestra su Radeon RX Vega 56 personalizada,Borja Rodríguez,03/11/2017
" Oukitel C8 4G: Un 5.5″ HD, con 2GB RAM, 3000 mAh y 4G LTE por 77 euros",Borja Rodríguez,02/11/2017
 Detectada una oleada de falsas críticas positivas para el Assassin’s Creed: Origins en Metacritic,Pablo Cañal,02/11/2017
 BitFenix Formula Gold: Fuentes de alimentación 80 Plus Gold con precio ajustado,Borja Rodríguez,02/11/2017
 Electronic Arts no espera lanzar más juegos para la Nintendo Switch en un futuro cercano,Borja Rodríguez,02/11/2017
 Lian Li abraza la iluminación RGB con su chasis Alpha 550,Borja Rodríguez,02/11/2017
" PlayerUnknown’s Battlegrounds alcanza las 18,6 millones de copias vendidas",Pablo Cañal,02/11/2017
 AMD EPYC 2 traería procesadores de hasta 64 núcleos con 128 líneas PCI-E 4.0,Borja Rodríguez,02/11/2017
 EA introduce cambios en las microtransacciones de Star Wars: Battlefront 2,Pablo Cañal,02/11/2017
 Review: Nvidia GeForce GTX 1070 Ti Founders Edition,Iván Martínez,02/11/2017
 Ubisoft: “Usar dos DRM no perjudica al rendimiento de la CPU en el Assassin’s Creed: Origins”,Borja Rodríguez,02/11/2017
 ID-Cooling SE-214RGB: Disipador CPU negro mate con iluminación RGB,Borja Rodríguez,02/11/2017
" HTC U11+, un nuevo tope de gama con Snapdragon 835 y batería de 3930 mAh",Borja Rodríguez,02/11/2017
" Pinball FX3 anunciado para Nintendo Switch, llegará el 14 de Noviembre",Borja Rodríguez,02/11/2017
" Xiaomi Redmi Y1 y Redmi Y1 Lite anunciados, nuevos dispositivos de gama de entrada",Borja Rodríguez,02/11/2017
 Un robot abogado resulta ser más preciso que un abogado humano,Pablo Cañal,02/11/2017
 Activision registra otra patente relacionada con los micropagos en juegos,Pablo Cañal,02/11/2017
 El Apple AirPower (cargador inalámbrico) saldría a la venta por 199 euros,Borja Rodríguez,02/11/2017
" Sony presenta su nuevo robot Aibo, ahora incluye Inteligencia Artificial",Pablo Cañal,02/11/2017
 Humble Bundle: Interesante pack de juegos desde 1 euro,Borja Rodríguez,01/11/2017
" Razer Phone anunciado, el teléfono para gamers con 8 GB de memoria RAM",Borja Rodríguez,01/11/2017
 [Finalizado] Presentación en directo del Razer Phone,Borja Rodríguez,01/11/2017
 El primer chasis de Nvidia da vida a un equipo de 13.000€ que podrás llevarte a casa,Borja Rodríguez,01/11/2017
 Microsoft lanza su Surface Pro con conectividad 4G LTE,Borja Rodríguez,01/11/2017
 Review: ASRock Z370 Killer SLI,Iván Martínez,01/11/2017
 QNAP TS-x77: Los primeros NAS del mundo con CPU AMD Ryzen,Borja Rodríguez,01/11/2017
" El Blackview S8 (5.7″ HD+, 4GB RAM y 3180 mAh) nos muestra su calidad fotográfica",Borja Rodríguez,01/11/2017
 PlayerUnknown’s Battlegrounds 1.0 llegará en Diciembre; también llegará a la Xbox One,Borja Rodríguez,01/11/2017
" Sony ha distribuido ya más de 67,5 millones de PlayStation 4",Pablo Cañal,01/11/2017
 Microsoft eliminará la actualización gratuita a Windows 10 el próximo 31 de Diciembre,Pablo Cañal,01/11/2017
 El 43% de los compradores de una Nintendo Switch tienen entre 25 y 34 años,Borja Rodríguez,01/11/2017
 Assassin’s Creed: Origins exprime en exceso las CPUs al usar un DRM que protege al DRM Denuvo,Borja Rodríguez,31/10/2017
 Nvidia lanza su servicio gaming GeForce Now en equipos Mac OS,Borja Rodríguez,31/10/2017
 China podría prohibir la distribución de PlayerUnknown’s Battlegrounds,Pablo Cañal,31/10/2017
 TP-Link Neffos: La experta en redes tiene un Smartphone con Snapdragon 835 y 6GB de RAM,Borja Rodríguez,31/10/2017
 RGB Hard Gaming Mousepad: Cooler Master ya tiene su alfombrilla gaming RGB,Borja Rodríguez,31/10/2017
 Las acciones de AMD se hunden tras los pronósticos de las criptomonedas y consolas,Borja Rodríguez,31/10/2017
" Review: CoolPC Battlebox (i7-8700K, 16GB y GTX 1080 Ti)",Iván Martínez,31/10/2017
" El Oukitel MIX 2 (5.99″ FHD+, Helio P25, 6GB RAM y 4080 mAh) llega en su Edición Silver",Borja Rodríguez,31/10/2017
 Horizon: Zero Dawn muestra su expansión ‘The Frozen Wilds’ en un nuevo tráiler,Pablo Cañal,31/10/2017
 Empleado de Microsoft instala Google Chrome en mitad de una presentación tras congelarse Edge,Pablo Cañal,31/10/2017
